x1,y1,z1,hemisphere1,network1,network_id1,image1,mdsx1,mdsy1,color1,x2,y2,z2,hemisphere2,network2,network_id2,image2,mdsx2,mdsy2,color2,corr
47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700
47.46,-56.78,16.04,R,Default,1,roi478.png,-35.229,47.674,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.46,-56.78,16.04,R,Default,1,roi478.png,-35.229,47.674,#ff2700
6.22,-49.39,29.34,R,Default,1,roi311.png,-29.874,6.387,#ff2700,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.536
8.53,-44.54,39.41,R,Default,1,roi348.png,-25.865,8.668,#ff2700,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.54
8.53,-44.54,39.41,R,Default,1,roi348.png,-25.865,8.668,#ff2700,47.46,-56.78,16.04,R,Default,1,roi478.png,-35.229,47.674,#ff2700,0.534
3.13,-35.34,33.55,R,Default,1,roi332.png,-16.308,3.042,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.13,-35.34,33.55,R,Default,1,roi332.png,-16.308,3.042,#ff2700
45.57,-34.99,0.16,R,Default,1,roi412.png,-12.192,45.233,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45.57,-34.99,0.16,R,Default,1,roi412.png,-12.192,45.233,#ff2700
61.34,-16.96,-8.15,R,Default,1,roi620.png,6.812,60.576,#ff2700,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.557
49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700
46.98,-8.78,-26.33,R,Default,1,roi529.png,16.232,45.927,#ff2700,45.57,-34.99,0.16,R,Default,1,roi412.png,-12.192,45.233,#ff2700,0.531
45.42,-3.95,-14.73,R,Default,1,roi617.png,20.008,44.35,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45.42,-3.95,-14.73,R,Default,1,roi617.png,20.008,44.35,#ff2700
45.74,2.79,-27.94,R,Default,1,roi530.png,27.869,44.441,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45.74,2.79,-27.94,R,Default,1,roi530.png,27.869,44.441,#ff2700
28.98,14.51,-9,R,Default,1,roi431.png,37.558,27.58,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28.98,14.51,-9,R,Default,1,roi431.png,37.558,27.58,#ff2700
35.41,18.22,-12.66,R,Default,1,roi430.png,41.703,33.908,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35.41,18.22,-12.66,R,Default,1,roi430.png,41.703,33.908,#ff2700
3.17,20.69,-13.66,R,Default,1,roi526.png,43.58,1.618,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.17,20.69,-13.66,R,Default,1,roi526.png,43.58,1.618,#ff2700
15.83,24.67,51.24,R,Default,1,roi604.png,42.201,14.647,#ff2700,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.618
15.83,24.67,51.24,R,Default,1,roi604.png,42.201,14.647,#ff2700,47.46,-56.78,16.04,R,Default,1,roi478.png,-35.229,47.674,#ff2700,0.542
32.56,27.55,-7.85,R,Default,1,roi514.png,50.522,30.903,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32.56,27.55,-7.85,R,Default,1,roi514.png,50.522,30.903,#ff2700
21.23,32.31,49.92,R,Default,1,roi603.png,50.037,19.882,#ff2700,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.627
21.23,32.31,49.92,R,Default,1,roi603.png,50.037,19.882,#ff2700,6.22,-49.39,29.34,R,Default,1,roi311.png,-29.874,6.387,#ff2700,0.579
21.23,32.31,49.92,R,Default,1,roi603.png,50.037,19.882,#ff2700,15.83,24.67,51.24,R,Default,1,roi604.png,42.201,14.647,#ff2700,0.548
3.19,36.01,-14.33,R,Default,1,roi525.png,58.898,1.323,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.19,36.01,-14.33,R,Default,1,roi525.png,58.898,1.323,#ff2700
6.3,43.43,7.98,R,Default,1,roi594.png,64.426,4.438,#ff2700,21.23,32.31,49.92,R,Default,1,roi603.png,50.037,19.882,#ff2700,0.536
4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,6.22,-49.39,29.34,R,Default,1,roi311.png,-29.874,6.387,#ff2700,0.601
